Name,Members FTE,Lobbying cost,Interest represented,Head office,EU office,EP passes on 2026-05-25,all EP passes,Meetings,country_merge,policy_areas
"Telefonica, S.A.",5.5,2000000,Promotes their own interests or the collective interests of their members,Spain,Belgium,6.0,83.0,182.0,Spain,"['Artificial Intelligence', 'Digital Markets', 'Trade', 'Environment']"
GOLDBECK SOLAR Investment Ukraine,4.1,2000000,Promotes their own interests or the collective interests of their members,Germany,Germany,0.0,0.0,1.0,Germany,"['Artificial Intelligence', 'Finance & Banking', 'Transport', 'Energy', 'Environment']"
Bayerische Motoren Werke Aktiengesellschaft,9.25,2000000,Promotes their own interests or the collective interests of their members,Germany,Belgium,7.0,65.0,158.0,Germany,"['Finance & Banking', 'Transport', 'Energy', 'Trade']"
Honeywell Europe NV,2.5,2000000,Promotes their own interests or the collective interests of their members,Belgium,Belgium,3.0,25.0,42.0,Belgium,"['Artificial Intelligence', 'Transport', 'Energy', 'Trade', 'Environment']"
ENGIE,3.95,2000000,Promotes their own interests or the collective interests of their members,France,Belgium,6.0,90.0,123.0,France,"['Artificial Intelligence', 'Finance & Banking', 'Energy', 'Environment']"
Siemens Energy AG,7.65,2000000,Promotes their own interests or the collective interests of their members,Germany,Belgium,5.0,17.0,78.0,Germany,"['Artificial Intelligence', 'Energy', 'Trade', 'Environment']"
Political Intelligence Brussels,15.8,1995000,Advances interests of their clients,Belgium,Belgium,14.0,172.0,10.0,Belgium,"['Artificial Intelligence', 'Digital Markets', 'Agriculture', 'Transport', 'Health', 'Energy', 'Trade', 'Environment']"
FIPRA International SRL,70.25,1970000,Advances interests of their clients,Belgium,Belgium,40.0,525.0,85.0,Belgium,"['Artificial Intelligence', 'Digital Markets', 'Transport', 'Health', 'Trade', 'Environment']"
logos public affairs,23.5,1960000,Advances interests of their clients,Belgium,Belgium,21.0,184.0,19.0,Belgium,"['Artificial Intelligence', 'Digital Markets', 'Transport', 'Energy', 'Environment']"
Hanbury Strategy and Communications Limited,12.5,1795000,Advances interests of their clients,United Kingdom,Belgium,15.0,58.0,4.0,United Kingdom,"['Artificial Intelligence', 'Finance & Banking', 'Digital Markets', 'Transport', 'Health', 'Energy', 'Trade', 'Environment']"
Merck Sharp & Dohme Europe Belgium SRL,6.25,1750000,Promotes their own interests or the collective interests of their members,United States,Belgium,15.0,115.0,45.0,United States,"['Artificial Intelligence', 'Health', 'Trade']"
Finance Denmark,10.0,1750000,Promotes their own interests or the collective interests of their members,Denmark,Belgium,3.0,29.0,30.0,Denmark,"['Artificial Intelligence', 'Finance & Banking', 'Trade']"
International Code of Conduct for Private Security Service Providers Association,8.0,1750000,Promotes their own interests or the collective interests of their members,Switzerland,Switzerland,0.0,0.0,0.0,Switzerland,"['Artificial Intelligence', 'Environment', 'Justice & Rights']"
Finance Watch,7.0,1750000,Promotes their own interests or the collective interests of their members,Belgium,Belgium,7.0,94.0,38.0,Belgium,"['Artificial Intelligence', 'Finance & Banking']"
Alliance Europeennee des YMCAs,2.25,1750000,Promotes their own interests or the collective interests of their members,Belgium,Belgium,0.0,2.0,2.0,Belgium,"['Artificial Intelligence', 'Finance & Banking']"
European Association of Co-operative Banks,6.0,1750000,Promotes their own interests or the collective interests of their members,Belgium,Belgium,6.0,155.0,42.0,Belgium,"['Artificial Intelligence', 'Finance & Banking', 'Environment']"
Merck,4.45,1750000,Promotes their own interests or the collective interests of their members,Germany,Belgium,6.0,60.0,35.0,Germany,"['Artificial Intelligence', 'Finance & Banking', 'Health', 'Energy', 'Trade', 'Environment']"
Deutscher Sparkassen-und Giroverband,5.5,1750000,Promotes their own interests or the collective interests of their members,Germany,Belgium,5.0,87.0,76.0,Germany,"['Artificial Intelligence', 'Finance & Banking']"
Eurasia Group Ltd.,0.25,1750000,Promotes their own interests or the collective interests of their members,United States,United States,0.0,0.0,24.0,United States,"['Artificial Intelligence', 'Finance & Banking', 'Trade']"
Intel Corporation,2.8,1750000,Promotes their own interests or the collective interests of their members,United States,Belgium,1.0,47.0,73.0,United States,"['Artificial Intelligence', 'Energy', 'Trade']"
IBM Corporation,6.25,1750000,Promotes their own interests or the collective interests of their members,United States,Belgium,6.0,59.0,168.0,United States,"['Artificial Intelligence', 'Trade', 'Environment']"
Bundesvereinigung der Deutschen Arbeitgeberverbände e.V.,9.35,1750000,Promotes their own interests or the collective interests of their members,Germany,Germany,5.0,85.0,72.0,Germany,"['Artificial Intelligence', 'Transport', 'Environment']"
RWE AG,6.5,1750000,Promotes their own interests or the collective interests of their members,Germany,Belgium,3.0,48.0,65.0,Germany,"['Artificial Intelligence', 'Finance & Banking', 'Transport', 'Energy', 'Environment']"
EUROPEAN APPAREL AND TEXTILE CONFEDERATION,12.75,1750000,Promotes their own interests or the collective interests of their members,Belgium,Belgium,7.0,67.0,41.0,Belgium,['Other']
European Savings and Retail Banking Group,11.5,1750000,Promotes their own interests or the collective interests of their members,Belgium,Belgium,12.0,158.0,32.0,Belgium,"['Artificial Intelligence', 'Finance & Banking']"
Vodafone Belgium SA,10.5,1750000,Promotes their own interests or the collective interests of their members,Belgium,Belgium,7.0,77.0,212.0,Belgium,"['Artificial Intelligence', 'Digital Markets', 'Health', 'Energy', 'Environment']"
